# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
80280;US-Contra-Costa;Wires-X 80280;ysf.contracostafusion.network;42000;000;
80364;US-XLX493;URF/XLX493;xlx493.w0chp.radio;42000;000;
80787;IT-ARI-BELLUNO;IT IQ3UCY-BL;iq3ucy-ysf.duckdns.org;43000;000;
80822;US-Eastern-NC;ENC Comms;ysf.ke4tzn.com;42000;000;
80956;US-SuperARC;SuperARC;65.101.53.45;42008;000;
81209;AT-XLX801-OE1PHS;AT;80.108.239.88;43000;000;
81416;TH-XLX149;XLX reflector;xlx.pwk.ac.th;42005;000;
81510;CL-XLX083;Chile XLX083;190.100.113.203;42000;000;
81511;CL-URF083;URF083;190.100.113.203;42000;000;
81520;TT-DXHAMS;MULTIMODE;dxhams.9y4c.com;42100;000;
81632;US-XLX295;OMIK Digital;xlx295.dyndns.org;42000;000;
81640;MX-DURANGO;Durango;142.171.71.28;42000;000;
81669;US-Kc2abv-DR2X;Kc2abv RPT;138.197.25.104;42000;000;
82040;US-SD-DIGITAL;ANALOG DIGITAL;45.76.27.55;42000;000;
82098;UA-Khmelnickiy;DMR TG25523;ysf25523.uw0wu.com;42027;000;
82182;GB-GM4SLV;GM4SLV Sandbox;gm4slv.org.uk;42000;000;
82720;US-KD4ACG;Radio58;jasonacg.dyndns.org;42000;000;
82832;US-US-Central-NC;Central-NC;167.71.18.175;42008;000;
83102;US-ASHLANDOH419;YSFASHLAND;74.44.226.105;42003;000;
83132;US-ILLINOIS-LINK;ILLINOIS LINK;illink.radiotechnology.xyz;42000;000;
83196;US-CALNET;CALNET;137.184.84.245;42000;000;
83231;ES-EA-ADN-SYSTEM;TG 214 NACIONA;84.127.121.62;42100;000;
83242;US-US-NW-OHIO;YSF-NW-Ohio;18.224.162.91;42000;000;
83341;US-US-N6XZN;N6XZN A;172.117.103.253;42002;000;
83397;US-EOH-GWY-HUB;ASL/EL/DVSW/+;29999.link;42000;000;
83603;US-WW8TF;Megalink Netwk;ysf.megalink.network;42000;000;
83624;US-N7MKY;N7MKY YSF;160.2.131.44;42000;000;
83706;US-XLX351;XLX351 Portal;xlx351.dyndns.org;42000;000;
83757;NL-Utrecht;VERON A08;reflector.pi4utr.nl;42005;000;
83978;DE-DE-Sachen;YSF Sachen;leipzig2000.dyndns.org;42001;000;
84057;FR-XLX976;XLX reflector;80.12.83.150;42000;000;
84105;US-RMM-YSF;;ysf.robmon.com;55555;000;
84177;US-PL4836;NWCHICAGO4836;66.179.80.40;42000;000;
84194;US-LA-BODEGA;BronxNY;kd2spf.dynamic-dns.net;42000;000;
84495;US-SCARCREF;SCARC CLUB REF;liondogs.ddns.net;42002;000;
84935;UA-Kiev-YSF;DMR TG25501;ysf25501.uw0wu.com;42004;000;
84943;US-MIAMIUSA;MIAMIUSA;qsomiamiusa.ddns.net;42002;000;
85239;UA-Odessa-YSF;DMR TG25516;ysf25516.uw0wu.com;42002;000;
85462;US-W8DGN;BARC Reflector;152.117.84.12;42000;000;
85500;US-XLX205;BCMDigitalTeam;167.71.95.160;42000;000;
85527;XX-PRIDE;LGBTQIA+ HAMS;209.222.4.140;42000;000;
85557;RU-RU-STUPINO;Stupino;194.33.48.63;42000;000;
85560;US-XLX978-Portal;XLX978 Portal;xlx978.dyndns.org;42000;000;
85807;TH-AR-NORASINGH;NorasinghClub;toptech.3bbddns.com;17075;000;
85857;AU-XLX505;XLX505;45.248.50.37;42000;000;
86043;GB-CQNORTHWEST;North West UK;ysf.cq-nw.uk;42001;000;
86374;VE-VENEZUELA;Venezuela Link;64.112.43.174;42000;000;
86398;US-US-Southern;IndianaNetwork;142.93.181.147;42000;000;
86753;US-WX5OKM;kd5fmu.com;67.217.144.91;42010;000;
86886;FR-Room-ZIT;Room-ZIT;151.80.143.185;42002;000;
87215;HR-HR-Hristo;C4FM Hrvatska;ysf.dmrbrescia.it;42998;000;
87282;US-US-N9VJYsnode;My node;68.70.227.19;42000;000;
87327;CN-SHLK;;222.67.28.56;42000;000;
87403;JP-XLX499;XLX Reflector;203.137.76.22;42000;000;
87648;XX-IR8UCW-YSF;IR8UCW YSF REF;baiamurena.ddns.net;42000;000;
87656;US-RED-RVR-OK/TX;RED RVR OK/TX;134.122.1.31;42000;000;
88194;PA-XLX507;Multi-Gateway;hp1cdw.ddns.net;42000;000;
88411;US-PDARC;PDARC Ref;ae0a.ddns.net;42000;000;
88473;GB-BARC;Burnham-on-sea;88.97.60.42;42002;000;
88648;GB-N-Staffs-HUB;N Staffs HUB;ysf-2e0svs.gb7dh.co.uk;42010;000;
88688;GB-SENGLAND;GB SENGLAND;endpoints.ukfusion.group;42010;000;
88741;FR-YSF-Serveur;pYSF3;nws.ysf-france.fr;42000;000;
88818;TH-YSF818;YSF818 Reflect;188.166.226.76;42001;000;
88843;US-NA9PL-PAAROS;PAAROS.com;167.71.90.26;42000;000;
88888;GB-cumbriaCQ-URF;cumbriaCQ.com;urf001.cumbriacq.com;42000;000;
88889;FR-ARA_TO_YSF;ARA;ysf.pulsraider.com;43000;000;
89020;CL-XLX730;XLX reflector;sdradio.cl;42005;000;
89134;GB--CUMBRIACQ;cumbriaCQ URF;digital.cumbriacq.com;42100;000;
89207;SE-Sweden-Hub;Wires-X, DMR;ysf.sk0ar.se;42000;000;
89230;PH-DX4NC;DX4NC;45.63.58.76;42000;000;
89600;DE-Holstein;Schl.-Holstein;194.36.147.134;42001;000;
89821;AU-YSF-DMR-VK5;YSF-DMR-VK5;ysf2.kernwifi.com.au;42001;000;
90040;IT-Carini;carini;93.44.254.24;42100;000;
90123;IT-GRF-TEST;TEST PyRefl;xlx395.grupporadiofirenze.net;42445;000;
90882;US-NACS;C4FM;68.232.234.2;42007;000;
91117;GR-Digital-Voice;Digital Voice;84.254.24.85;42003;000;
91416;US-GEORGIA-REF;US Georgia Ref;24.125.50.250;43000;000;
91756;IT-GlobalNet;CommunityNet99;italynet.duckdns.org;42017;000;
91767;GB-Fusion-Kernow;Fusion SW UK;44.31.166.5;43000;000;
91800;US-NorCal;NorCal-YSF;ysfxlx.dyndns.org;42001;000;
91879;US-XLX073;The Fog XLX073;45.77.192.120;42000;000;
91959;NL-Boreft;;pa8f.nl;42000;000;
91999;US-MuuFrendsNet;Meeting Place;ysf.kc5jmd.net;42051;000;
92029;GR-SV9-CRETE;GR SV9 CRETE;sv9sit.ddns.net;42010;000;
92160;US-EasternMILink;;urf106.com;42002;000;
92469;DE-Hessen;YSF Hessen;c4fm.dehessen.de;42000;000;
92538;US-HRReflector;Heritage Ranch;161.35.57.255;42000;000;
92585;JP-XLX431;;61.195.98.225;42000;000;
92722;US-SKYHUBLINK;SkyHubLink;hub.skyhublink.com;42000;000;
93032;CA-LatinMontreal;VA2AIZ;74.208.37.116;42395;000;
93284;GB-DVSPh;DVSPh;c4fm.dvsph.net;42000;000;
93342;DE-XLX456-W;XLX4567-W YSF;54.37.205.183;42000;000;
93403;IT-BAGHERIA;IT-BAGHERIA;81.56.72.184;42100;000;
93424;IT-FreeNet;GROUP ADN-IT;93.90.205.46;42019;000;
93591;PH-DX1ARC;DX1ARC;45.32.56.20;42000;000;
93884;IT-YSF-BS-Net;IT Brescia-Net;ysf.dmrbrescia.it;42000;000;
93887;US-XLX547;KAPIHAN-XLX;130.51.20.196;42000;000;
93917;XX-XLX911;;128.199.239.91;42000;000;
93918;XX-XLX911D;;128.199.239.91;42013;000;
93958;US-N4KWT-ALPHA;ALPHA;45.16.90.218;42002;000;
94122;US-XLX503;XLX503;76.196.111.156;42000;000;
94254;DE-Thueringen2;Thueringen;5.252.225.75;42000;000;
94369;US-XLX910D;XLX910;910ysf.mywire.org;42000;000;
94600;US-TALARC;AmericanLegion;ysf.ko4jju.com;42000;000;
94602;US-BA-Gateway;BAMRC;107.152.47.74;42001;000;
95100;US-IEARG;KE6UPI;ysf.ke6upi.com;42000;000;
95424;JP-XLX298;XLX reflector;122.132.41.160;42000;000;
95569;XX-PRIDE-VW-MODE;VW-MODE-ONLY;209.222.4.140;42004;000;
95623;ES-R.C.-AMIRED;WiresX CATALAN;89.36.215.181;42000;000;
96005;UA-YSF;DMR TG2555;ysf2555.uw0wu.com;42001;000;
96124;ES-ALMERIA;YSF ALMERIA;80.211.1.143;42000;000;
96259;KR-003-YSF;Yeongwol-KR;180.83.118.197;42002;000;
96442;US-Foxhole;Foxhole;ysf.foxhole.radio;42044;000;
96621;JP-C4FM;C4FM JAPAN;jp-c4fm.f5.si;42000;000;
96969;US-XLX969;;xlx.k0cks.com;42000;000;
97629;IT-SMAM;IT-SMAM IQ5QD;ysf.iq5qd.it;42000;000;
98011;CH-JOTA;Scouts!;mikrotik.woody.ch;42001;000;
98625;GB-CityandSticks;CityandSticks;81.150.185.253;42000;000;
99123;RO-XLXYO;Banat Net;xlxyo2.yo2lyn.link;42000;000;
99209;UA-Sumy-YSF;DMR TG25519;ysf25519.uw0wu.com;42024;000;
99358;CL-CL-ZONADMR-CL;;zonadmr.ddns.net;42000;000;
99462;US-Sub-RMs;Sub Radiomen;47.216.47.227;42002;000;
99487;US-XLX406;XLX Reflector;xlx406.ddns.me;42000;000;
99539;US-VaDigital;VaDigital YSF;ysf.vadigital.network;42000;000;
99714;US-WB0VTM-ROOM;JONS YSF ROOM;ysf.wb0vtm.com;42006;000;
99797;US-CT-RI-ROOM;REPEATER;134.209.211.87;42000;000;
99902;US-C4FM;(FCS002);fcs002.xreflector.net;42000;000;
99912;US-STNY;Southern Tier;stny.servehttp.com;42002;000;
99952;US-KQ4TBL-hub;;kq4tblysf.ddns.net;42002;000;
99991;XX-feelteamsix;@feelteam.six;143.198.228.28;42000;000;
99999;DE-Parrot;Parrot;167.86.110.62;42020;000;
