# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
41577;RO-YSF-YO-W;Fusion Romania;ysf.hamnet.ro;42001;000;
14275;ES-MADRID;MADRID;zuluradio.es;42002;000;
02868;PH-SCAN-i-546;SCAN-i 546;149.28.209.113;42001;000;
50564;AU-VK44-TG64;VK44-TG64;tg64.ref.vk44.net;42000;000;
52639;PT-YSF268;YSF268;pysf-pt.brandmeister.pt;42217;000;
00716;XX-CT-BMCAT;C4FM Catalunya;94.177.237.192;42000;000;
32385;XX-XLX034;XLX reflector;ag5aa.com;42000;000;
20834;GB-LincsLink;LincsLink;lincslink.ddns.net;42002;000;
09071;GB-FreeDMR-9071;FDMR TG 9071;ysf.freedmr.uk;49071;000;
41576;FR-YSF-Nantes;YSF Room F5ZLK;f5ore.dyndns.org;42100;000;
14249;HR-HR-DALMACIJA;CHAT;9a7bcp.ddns.net;42009;000;
02735;US-Potomac-Radio;PR-YSF-GROUP;pr.k2ln.info;42000;000;
00715;XX-CT-CATHAM;YSF CATALA;ysf-urcat.ddns.net;42001;000;
32343;US-K4NWS;ALERT-K4NWS;ysf.alert-alabama.org;42000;000;
20820;UA-Cherkasy-YSF;DMR TG25524;ysf25524.uw0wu.com;42028;000;
09059;ES-CANARIAS;Canarias C4FM;185.166.212.132;42000;000;
41556;GB-CRDARS-UK;GB CRDARS UK;212.132.161.106;42004;000;
14248;HR-9A-C4FM;CRO-OFFICIAL;ysf.dmrbrescia.it;42997;000;
02725;US-HAYABUSA1;US HAYABUSA 1;64.121.61.109;42003;000;
00097;US-URF097;URF097;140.82.24.7;42000;000;
00714;XX-CT-CATHAM2;YSF CATALA;urcat-xlx2.ddns.net;42001;000;
50583;US-W7BPS;;162.118.3.148;42005;000;
00096;KR-096ysf-Busan;Busan KOREA;096ysf.duckdns.org;42000;000;
32100;IT-IT-IU3GMR-BL;IT-IU3GMR-BL;iu3gmr-ysf.duckdns.org;42000;000;
52690;CZ-YSF-Klatovy;YSF Klatovy CZ;46.23.62.124;42200;000;
20780;GB-SMRCC;S.Mcr Radio;smrcc.ddns.net;43000;000;
09042;US-kb3ztd;Test Reflector;34.72.182.194;42000;000;
41540;GB-GB-nhutest;;212.159.79.56;42010;000;
14054;US-W5JDW-LINK;www.w5jdw.com;205.147.75.67;42000;000;
02563;US-TheMailRoom;W6LAD;104.247.145.90;42003;000;
